;killbyhum(@±»ÈËÉ±ËÀ) killbymon(@±»¹ÖÉ±ËÀ) @ShaguaiTrigger LevelUp(@UpgradeTrigger)

[0	Cen] CANRIDE WEATHER(1)
[SH000	Palace] FIGHT
[SH045	CentralPlains-Inn] FIGHT
[SH001	Warehouse] FIGHT
[SH002	Jewelers] FIGHT
[SH003	MartialArts] FIGHT
[SH004	Warehouse2nd] FIGHT
[SH005	MarriageRoom] FIGHT
[SH006	MartialArts] FIGHT
[SH007	Grocery] FIGHT
[SH008	ClothingStore] FIGHT
[SH009	Butcher] FIGHT
[SH010	Bookstore] FIGHT
[SH011	Pharmacy] FIGHT
[SH012	SideHall] FIGHT
[SH013	SideHall] FIGHT
[F005	PK-ARENA] FIGHT3

[H071	GeneralCave] 
[H072	GeneralCave2] 
[H073	GeneralCave3] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[H074	GeneralPalace] NORECONNECT(H073) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) 
[H081	GeneralCaveEast] 
[H082	GeneralCaveEast2] 
[H083	LamentGallery] 
[H084	SighGallery] 
[H085	GeneralCaveEast4] 
[H086	GeneralCaveEast5] 

[1	PenIsland] CHECKQUEST(Q012) CANRIDE weather(2)
[T011	MiningEntrance] MINE
[T012	SouthernMine] MINE
[T013	NorthernMine] MINE
[T014	SouthernFault] MINE
[T015	CentralMine] MINE
[T016	OreField] MINE
[T017	WesternMine] MINE
[T018	NorthernMine] MINE
[T019	EastMine] MINE
[T020	RefugeShelter] MINE
[T021	NorthernFault] MINE
[T022	EvacuationRoute] MINE
[L004	CorpseDian] NORECONNECT(T015) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NOPOSITIONMOVE

[2 Wilderness] CHECKQUEST(Q012) CANRIDE weather(3)
[SH022	Warehouse] FIGHT
[SH023	Warehouse2nd] FIGHT
[SH024	ClothingStore] FIGHT
[SH025	Jewelers] FIGHT
[SH026	Bookstore] FIGHT
[SH027	Blacksmith] FIGHT

[M001	»ú¹ØµÀÒ»] CHECKQUEST(Q012)
[M002	»ú¹ØµÀ¶þ] CHECKQUEST(Q012)
[M003	»ú¹ØµÀÈý] CHECKQUEST(Q012)
[M004	»ú¹ØµÀËÄ] CHECKQUEST(Q012)
[M005	»ú¹ØÖ§Â·Ò»] CHECKQUEST(Q012)
[M006	»ú¹ØÖ§Â·¶þ] CHECKQUEST(Q012)
[M007	Ìì»úÌÃ] CHECKQUEST(Q012)
[M008	Ôì»¯ÌÃ] CHECKQUEST(Q012)
[M009	Éñ¹¤ÌÃ] CHECKQUEST(Q012)
[M010	¹¤·»´óÌüÒ»] CHECKQUEST(Q012)
[M011	¹¤·»´óÌü¶þ] CHECKQUEST(Q012)
[M012	¹¤·»´óÌüÈý] CHECKQUEST(Q012)
[M013	¹¤·»´óÌüËÄ] CHECKQUEST(Q012)
[M014	²Ö¿âÒ»] CHECKQUEST(Q012)
[M015	²Ö¿â¶þ] CHECKQUEST(Q012)
[M016	ÖÐ×ªÌüÒ»] CHECKQUEST(Q012)
[M017	ÖÐ×ªÌü¶þ] CHECKQUEST(Q012)
[M018	ÖÐÊà´óµî] CHECKQUEST(Q012)
[M020	ÅÌµÀÒ»] CHECKQUEST(Q012)
[M021	»ØÐýÍ¨µÀÒ»] CHECKQUEST(Q012)
[M022	ÅÌµÀ¶þ] CHECKQUEST(Q012)
[M023	ËÄ²íµÀ] CHECKQUEST(Q012)
[M024	ÓØ»ØÖ®µØ] CHECKQUEST(Q012)
[M025	½Ç¶·³¡] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[M026	Õ½¶·³¤ÀÈ] CHECKQUEST(Q012)
[M027	ÅÌµÀÈý] CHECKQUEST(Q012)
[M028	»ØÐýÍ¨µÀ¶þ] CHECKQUEST(Q012)
[M029	ÅÌµÀËÄ] CHECKQUEST(Q012)
[M030	Õ½¶·¹ã³¡Ò»] CHECKQUEST(Q012)
[M031	Õ½¶·¹ã³¡¶þ] CHECKQUEST(Q012)
[M032	Õ½¶·¹ã³¡Èý] CHECKQUEST(Q012)

[10	SerpentValley] CANRIDE
[N001	CryptEntrance] 
[N002	Circuit] 
[N003	InsectHoles] 
[N004	SnakeRoad] 
[N005	SnakesNest] 
[N006	BonesofSnakes] 
[N007	SnakeLink] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(N006)
[N008	SnakePalaces] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) ORECONNECT(N006)
[L003	UnknownPalace] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(N003)

[QueYsh00 ÁéÌ¨ÏÉ¾³] FIGHT

[3	HorsePlain] CANRIDE weather(3)
[SH015	Pharmacy] FIGHT
[SH016	ClothingStore] FIGHT
[SH017	Blacksmith] FIGHT
[SH018	Jail] FIGHT
[SH019	Jewelers] FIGHT
[SH020	Warehouse] FIGHT
[SH021	Chamber] FIGHT

[E001	Underground2] 
[E002	Underground1] 
[E003	Underground3] 
[E004	DenseRoad] 


[J001	ForbiddenGate] CHECKQUEST(Q012)
[J002	MoonPool] CHECKQUEST(Q012)
[J003	IceCorridor] CHECKQUEST(Q012)
[J004	StoneIcePlace] CHECKQUEST(Q012)
[J005	SapphirePalace] CHECKQUEST(Q012)
[J006	DeathGate] CHECKQUEST(Q012)
[J007	NoReturn] CHECKQUEST(Q012)NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NOPOSITIONMOVE	NORECONNECT(J006)
[J008	DarkSamsara] CHECKQUEST(Q012)NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NOPOSITIONMOVE	NORECONNECT(J006)
[J009	DeadUpstream] CHECKQUEST(Q012)NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NOPOSITIONMOVE	NORECONNECT(J006)
[J010	EvilHole] CHECKQUEST(Q012)NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NOPOSITIONMOVE	NORECONNECT(J006)
[J011	Enchantment] CHECKQUEST(Q012)
[J012	SealPlace] CHECKQUEST(Q012)

[4	Forbidden] CHECKQUEST(Q012) CANRIDE weather(1)
[SH031	ClothingStore] FIGHT
[SH032	Butcher] FIGHT
[SH033	Jewelers] FIGHT
[SH034	Bookstore] FIGHT
[SH035	Blacksmith] FIGHT
[SH036	Pharmacy] FIGHT
[SH037	TaoistHall] FIGHT

[5	WesternRegion] CHECKQUEST(Q012) CANRIDE weather(1)
[SH040	Blacksmith] FIGHT
[SH043	Jewelers] FIGHT
[SH044	ClothingStore] FIGHT
[SH038	MainHall] FIGHT
[SH039	Butcher] FIGHT
[SH041	Warehouse] FIGHT
[SH042	Bookstore] FIGHT

[14	Tientai] NORECONNECT(TT003)
[16	Biseondae] NORECONNECT(TT003)
[18	NottingTaiwan] NORECONNECT(TT003)
[20	PlaceofDeath] FIGHT
[TT001	Hoodwink] CHECKQUEST(Q012)
[TT002	¶þµÀÀÈÏß] CHECKQUEST(Q012)
[TT003	Hoodwink3] CHECKQUEST(Q012)
[TT004	SquareArena] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[TT005	Hoodwink5] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[TT006	Hoodwink6] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[TT007	Hoodwink7] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(TT003)
[TT008	Hoodwink8] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(TT003)
[NL009|TT009	Yunsiao] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(TT003)

[7	StagnantWaters] CHECKQUEST(Q012) CANRIDE
[MC001	Underground] CHECKQUEST(Q012) 
[MC002	Underground2] CHECKQUEST(Q012) 
[MC003	Underground3] CHECKQUEST(Q012) 
[MC004	Underground4] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[MC005	Underground5] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[MC006	Underground6] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)
[MC007	Underground7] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC006)
[MC008	Underground8] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC006)
