[setup]
stepcount = 18
title = 极品修炼值任务
ID = 46
stepDESC1 = {color=graygolden 任务介绍:}\聚集在炼狱魔境五层的幽魂，只要能杀够20个，你\就可以从我这里领走属于你的奖励。\当前你已经杀死了<$HUMAN(RENWU004)>/20个幽魂。
stepDESC2 = {color=graygolden 任务介绍:}\炼狱魔境七层地下小鬼神出鬼没，不要求你去杀他们个片甲\不留，至少要杀死2个地下小鬼。当前你已经杀\死了<$HUMAN(RENWU004)>/2个地下小鬼了。
stepDESC3 = {color=graygolden 任务介绍:}\对，你要杀的就是那些可恶的尸卫勇士，藏身在炼狱魔境二\层。这些家伙不杀他几十个难解心头恨。杀死20个就算你首\功一件。回到我这里你就能获得极品修炼值了。\当前你已经消灭了<$HUMAN(RENWU004)>/20个尸卫勇士。
stepDESC4 = {color=graygolden 任务介绍:}\这些青铜兽聚集在炼狱魔境三层里。你要做得就是闯入炼狱\魔境三层，杀死20个青铜兽。\当前你已经杀死了<$HUMAN(RENWU004)>/20个青铜兽。
stepDESC5 = {color=graygolden 任务介绍:}\炼狱魔境八层的藤妖经常骚扰村民。若你能消灭5个藤妖，\就请你回来见我。\当前你已经消灭了<$HUMAN(RENWU004)>/5个藤妖。
stepDESC6 = {color=graygolden 任务介绍:}\进入炼狱魔境八层，你就能找到这力大无穷的妖力士了。你\现在需要做的就是杀死4只妖力士\再回来见我。\当前你已经杀死了<$HUMAN(RENWU004)>/4只妖力士。
stepDESC7 = {color=graygolden 任务介绍:}\炼狱魔境九层的兽骑兵们严阵以待，你现在需要做的是进入\炼狱魔境九层，杀死1个兽骑统领再回来见我。\当前你已经杀死了<$HUMAN(RENWU004)>/1个兽骑统领。
stepDESC8 = {color=graygolden 任务介绍:}\血魔这种妖怪聚集在炼狱魔境八层。若你能消灭5个血魔，\就请回来见我。\当前你已经消灭了<$HUMAN(RENWU004)>/5个血魔。
stepDESC9 = {color=graygolden 任务介绍:}\对，你要杀的就是那些可恶的尸卫，他们多藏身在炼狱魔境\二层。这些家伙不杀他几十个难解我心头恨。杀死20个就算\你首功一件。回到我这里你就能获得极品修炼值了。\当前你已经消灭了<$HUMAN(RENWU004)>/20个尸卫。
stepDESC10 = {color=graygolden 任务介绍:}\我想你应该知道这些逆魔卫士的出没地点的。对了，就在那\阴森的炼狱魔境七层。也不强求你一人杀尽所有逆魔卫士。\至少消灭10个逆魔卫士再回来领赏吧。当前你\已经杀死<$HUMAN(RENWU004)>/10个逆魔卫士。
stepDESC11 = {color=graygolden 任务介绍:}\这些滚刀手多聚集在炼狱的炼狱魔境三层。你要做得就是闯\入炼狱魔境三层，杀20个\SwordWielder。当前你已经杀死了<$HUMAN(RENWU004)>/20个滚刀手。
stepDESC12 = {color=graygolden 任务介绍:}\我想你应该知道逆魔弓箭手的出没地点的。对了，就在那阴\森恐怖的炼狱魔境七层。也不强求你一个人杀尽所有逆魔弓\箭手。至少消灭10个逆魔弓箭手再回来领赏吧。\当前你已经杀死<$HUMAN(RENWU004)>/10个逆魔弓箭手。
stepDESC13 = {color=graygolden 任务介绍:}\刺魔这种妖怪聚集在炼狱魔境八层。若你能消灭5个刺魔，\就请回来见我。\当前你已经消灭了<$HUMAN(RENWU004)>/5个刺魔。
stepDESC14 = {color=graygolden 任务介绍:}\对，你要杀的就是那些可恶的尸卫战将，藏身在炼狱魔境二\层。这些家伙不杀他几十个难解心头恨。杀死20个就算你首\功一件。回到我这里你就能获得极品修炼值了。\当前你已经消灭了<$HUMAN(RENWU004)>/20个尸卫战将。
stepDESC15 = {color=graygolden 任务介绍:}\这些石人多聚集在炼狱的炼狱魔境三层。你要做得就是闯\入炼狱魔境三层，杀20个\Shiren。当前你已经杀死了<$HUMAN(RENWU004)>/20个石人。
stepDESC16 = {color=graygolden 任务介绍:}\炼狱魔境八层的铁翼魔为非作歹。若你能消灭6个铁翼魔\，就请回来见我。\当前你已经消灭了<$HUMAN(RENWU004)>/6个铁翼魔。
stepDESC17 = {color=graygolden 任务介绍:}\我想你应该知道逆魔雕像的出没地点的。对了，就在那阴森\恐怖的炼狱魔境七层。也不强求你一人杀尽所有逆魔雕像。\至少消灭10个逆魔雕像再回来领赏吧。当前你\已经杀死<$HUMAN(RENWU004)>/10个逆魔雕像。
stepDESC18 = {color=graygolden 任务介绍:}\这些铜锤手聚集在炼狱魔境三层里。你要做得就是闯入炼狱\魔境三层，杀死15个铜锤手。\当前你已经杀死了<$HUMAN(RENWU004)>/15个铜锤手。
